month,trades,wins,losses,net
2024-01,6,3,3,430.0
2024-02,4,1,3,-2565.0
2024-03,4,3,1,3215.0
2024-04,6,4,2,3490.0
2024-05,4,2,2,1120.0
2024-06,2,0,2,-1250.0
2024-07,9,8,1,7130.0
2024-08,3,2,1,1745.0
2024-09,4,1,3,-690.0
2024-10,7,4,3,2315.0
2024-11,10,8,2,7405.0
2024-12,6,3,3,1680.0
2025-01,10,6,4,3770.0
2025-02,9,8,1,7405.0
2025-03,3,3,0,3555.0
2025-04,0,0,0,0
2025-05,6,2,4,-130.0
2025-06,7,2,5,-755.0
2025-07,7,5,2,3500.0
2025-08,12,6,6,310.0
2025-09,6,3,3,1680.0
2025-10,10,5,5,970.0
2025-11,4,2,2,845.0
2025-12,6,2,4,-130.0
2026-01,5,4,1,3840.0
2026-02,3,1,2,-690.0
2026-03,4,2,2,1120.0
2026-04,9,4,5,1615.0
2026-05,5,2,3,495.0
2026-06,0,0,0,0
